test_name,email_date,email_opened,email_undelivered,donation,donation_date,donation_amount,donation_amount_ex_fee,previous_amount_donated_1,previous_donation_date_1,previous_amount_donated_2,previous_donation_date_2
Test A,10/10/24,1,0,1,10/16/24,20.6,20,30.9,12/11/23,NA,NA
Test A,10/10/24,1,0,1,10/10/24,51.5,50,100,1/12/24,NA,NA
Test A,10/10/24,1,0,1,10/11/24,103,100,100,1/18/24,NA,NA
Test A,10/10/24,1,0,1,10/13/24,103,100,257.5,10/28/23,NA,NA
Test A,10/10/24,1,0,1,10/13/24,13.39,13,103,10/25/23,51.5,11/13/23
Test A,10/10/24,1,0,1,10/14/24,103,100,267.8,1/31/23,NA,NA
Test A,10/10/24,1,0,1,10/14/24,197.76,192,92.28,1/13/24,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test A,10/10/24,0,1,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,1,10/12/24,13.39,13,50,1/19/24,NA,NA
Test B,10/10/24,1,0,1,10/10/24,13.39,13,50,10/25/23,NA,NA
Test B,10/10/24,1,0,1,10/10/24,103,100,103,11/16/23,NA,NA
Test B,10/10/24,1,0,1,10/10/24,103,100,103,5/2/24,NA,NA
Test B,10/10/24,1,0,1,10/10/24,13.39,13,77.25,10/23/23,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,1,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,0,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,1,0,NA,NA,,NA,NA,NA,NA
Test B,10/10/24,0,1,0,NA,NA,,NA,NA,NA,NA
